GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Cync LOS Entity Service,com.idexcel.cync.los.entity.mapper,FinancialEntityListMapper,5,0,0,0,1,0,1,0,1,0
Cync LOS Entity Service,com.idexcel.cync.los.entity.mapper,LookupDataMapperImpl,299,0,38,0,89,0,31,0,12,0
Cync LOS Entity Service,com.idexcel.cync.los.entity.mapper,EntityRelationshipTypeMapper,64,5,6,0,11,1,4,1,1,1
Cync LOS Entity Service,com.idexcel.cync.los.entity.mapper,LosConfigMapper,5,0,0,0,1,0,1,0,1,0
Cync LOS Entity Service,com.idexcel.cync.los.entity.mapper,EntityRelationshipTypeMapperImpl,390,3,54,0,123,1,40,1,13,1
Cync LOS Entity Service,com.idexcel.cync.los.entity.mapper,LosConfigMapperImpl,41,0,6,0,12,0,5,0,2,0
Cync LOS Entity Service,com.idexcel.cync.los.entity.mapper,FinancialEntityMapperImpl,547,0,26,0,147,0,23,0,10,0
Cync LOS Entity Service,com.idexcel.cync.los.entity.mapper,FinancialEntityMapper,5,0,0,0,1,0,1,0,1,0
Cync LOS Entity Service,com.idexcel.cync.los.entity.mapper,LookupDataMapper,5,0,0,0,1,0,1,0,1,0
Cync LOS Entity Service,com.idexcel.cync.los.entity.mapper,FinancialEntityListMapperImpl,273,0,20,0,77,0,19,0,9,0
Cync LOS Entity Service,com.idexcel.cync.los.entity.common.utils,Operation,0,54,0,0,0,2,0,1,0,1
Cync LOS Entity Service,com.idexcel.cync.los.entity.common.utils,CommonUtils,0,48,0,0,0,14,0,6,0,6
Cync LOS Entity Service,com.idexcel.cync.los.entity.common.utils,ExternalAPICaller,0,184,0,10,0,43,0,11,0,6
Cync LOS Entity Service,com.idexcel.cync.los.entity.common.utils,Status,0,34,0,0,0,2,0,1,0,1
Cync LOS Entity Service,com.idexcel.cync.los.entity.common.utils,ActivityLog,29,113,1,1,4,24,2,4,1,4
Cync LOS Entity Service,com.idexcel.cync.los.entity.service.impl,EntityRelationshipTreeServiceImpl,434,31,48,0,96,7,34,3,10,3
Cync LOS Entity Service,com.idexcel.cync.los.entity.service.impl,EntityFieldsServiceImpl,0,258,0,10,0,30,0,11,0,6
Cync LOS Entity Service,com.idexcel.cync.los.entity.service.impl,CountryLookupServiceImpl,0,25,0,0,0,6,0,3,0,3
